6740(9235), 9236(8615)
6740(9236), 9236(8616)
1958(3727), 9013(900)
9690(7860), 6480(2300)
7431(6099), 3343(2878)
1358(12126), 6044(8205)
6044(8205), 6008(2899)
87(2388), 6517(1807)
3263(11978), 629(11449)
7886(12438), 7600(6587)
7886(12437), 7600(6586)
5965(20015), 3435(17767)
7516(10757), 6827(2766)
2078(11903), 6833(5170)
2078(11904), 6833(5171)
5405(1937), 6442(826)
6380(8144), 4960(3184)
2833(13664), 4713(5543)
393(7510), 6557(6616)
1664(6311), 5363(3180)
9357(5190), 7516(87)
1767(9280), 376(6547)
5296(6820), 8484(2050)
6977(15595), 6616(3791)
4396(6982), 6579(4752)
8910(3563), 3013(593)
4682(11298), 149(2244)
3640(4118), 882(1924)
6921(10261), 1661(9138)
114(8659), 6622(1604)
4143(6328), 9542(1188)
210(12017), 6472(6288)
4183(1910), 291(626)
8540(5683), 4779(489)
7364(4678), 7365(4626)
4072(7776), 1677(113)
2011(14569), 1919(2393)
4545(8473), 91(7268)
5133(12510), 9255(2351)
6238(13127), 4297(10634)
2907(6676), 8096(4608)
4047(4213), 8429(3378)
6525(7233), 9235(4348)
2712(6214), 6154(690)
5185(2993), 9896(2645)
5968(4745), 6874(1202)
8372(6361), 5650(249)
8883(5310), 7268(752)
8072(5092), 5079(2012)
803(11624), 4937(3345)
2117(10419), 7725(4598)
6977(15598), 6616(3795)
3721(6831), 47(3633)
4787(7722), 6760(5196)
4681(3033), 1926(712)
9431(17424), 7652(2522)
5405(18413), 2913(7625)
2552(10365), 1490(8867)
3567(18807), 7980(10780)
3927(14377), 9567(2663)
9758(13051), 2879(4114)
3238(3123), 2282(1885)
9457(5981), 3267(2113)
3267(2113), 7398(1276)
8859(11224), 6994(9848)
4141(17842), 9965(924)
1673(12226), 5942(1323)
1597(11547), 4260(7187)
658(3922), 8600(1055)
3364(2384), 2967(1133)
114(8532), 7708(5970)
3750(9452), 4397(6529)
7345(5696), 8742(3320)
941(2989), 9143(1119)
3985(15454), 3986(1409)
7027(6476), 9399(6003)
3357(11121), 112(7449)
181(1703), 2384(242)
6679(10371), 841(5965)
4910(12519), 2093(12243)
2093(12243), 9945(11983)
3721(6889), 2212(951)
6367(8269), 8585(2525)
2860(12966), 5247(6725)
3942(7707), 3630(2227)
3842(15164), 3885(570)
3348(4995), 2155(2724)
7012(2794), 3946(1489)
3728(7478), 66(1390)
6938(9133), 1975(6601)
2425(4935), 7378(1456)
9070(12824), 3159(10578)
9293(2438), 3696(490)
7917(7407), 5693(48)
5429(2889), 3197(270)
5659(4492), 8879(558)
9775(5336), 8077(4391)
8077(4391), 8879(559)
4282(11596), 397(2087)
5980(5443), 9621(4463)
8134(16717), 4297(6770)
4454(16795), 654(6300)
4300(8453), 4192(4237)
5459(9667), 4726(9023)
9039(11549), 2156(6053)
1084(8192), 2630(763)
4377(6971), 7490(513)
6839(216), 6840(200)
9910(9188), 3470(8518)
910(8697), 9336(2005)
8975(15760), 399(533)
2517(7560), 6343(2957)
8379(5314), 1537(762)
1184(12183), 1950(97)
6047(16905), 6707(2832)
1516(2543), 1063(1344)
3477(9095), 348(3061)
9683(11160), 3078(1337)
1064(4850), 5586(4243)
5900(1971), 5438(1713)
4263(3215), 9532(1685)
8728(12991), 2658(6167)
4679(7894), 9848(4340)
6965(10615), 6336(5706)
